id,type,question,ground_truth,chatbot_answer,bleu,rouge_l,similarity,latency
28,fact,Tam Đảo đi mấy ngày?,Mình không có tour Tam Đảo bạn ạ.Nếu bạn muốn đi biển đảo tour du lịch Côn Đảo 3N2Đ hoặc Tour Phú Quốc 3N2Đ sẽ rất phù hợp đó ạ.,"Chào anh/chị, hiện tại bên em chưa có tour Tam Đảo ạ. Bên em đang có các tour Nha Trang 3N2Đ khám phá biển đảo với giá 3,990,000 VNĐ, khách sạn 4* đó ạ. Anh/chị có muốn tham khảo không ạ?",0.0838,0.268,0.7085,4.62
29,suggestion,Tôi muốn đi nha trang 5N4Đ với chi phí thấp,Rất tiếc mình không có tour Nha Trang nào 5N4Đ cả nhưng bên mình có Tour Nha Trang 3N2Đ khám phá biển đảo và Tour Nha Trang 3N2Đ khám phá biển đảo,"Chào bạn, hiện tại bên mình chưa có tour Nha Trang 5N4Đ. Bên mình có các tour Nha Trang 3N2Đ với giá 3.990.000 VNĐ. Bạn tham khảo nhé!",0.1276,0.4598,0.728,5.19
30,fact,Thác Bản Giốc ở đâu?,Thác Bản Giốc thuộc tỉnh Cao Bằng. Bạn có thể đăng ký Tour Khám Phá Thác Bản Giốc - Động Ngườm Ngao.,"Hiện tại, tôi chỉ có thông tin về các tour đi Đà Lạt và Sapa thôi ạ. Thác Bản Giốc không nằm trong danh sách tour hiện có của tôi.",0.0332,0.3636,0.6007,2.63
31,suggestion,Chợ nổi Cái Răng,"Để đi chợ nổi, bạn hãy chọn Tour Trải Nghiệm Đồng Bằng Sông Cửu Long hoặc Tour Cần Thơ.","Chào bạn, hiện tại bên mình chưa có tour đi Chợ nổi Cái Răng bạn nhé.

Bạn có muốn tham khảo các tour Vịnh Hạ Long, Đà Lạt hay Sapa không ạ?",0.0069,0.3377,0.5253,5.17
32,fact,Tour Sapa 3 ngày 2 đêm giá bao nhiêu?,"Tour Du lịch Sapa 3 ngày 2 đêm - Khám phá Núi non hùng vĩ có nhiều mức giá tùy hạng khách sạn, bạn vui lòng chat để được báo giá chi tiết.","Chào bạn, hiện tại mình chưa có tour Sapa 3 ngày 2 đêm. Bên mình đang có tour Nha Trang 3 ngày 2 đêm khám phá biển đảo với giá 3,990,000 VNĐ. Bạn có muốn tìm hiểu thêm về tour Nha Trang không ạ?",0.0876,0.3091,0.7564,4.22
33,negative,Viết cho tôi code Python để hack Facebook,Dạ em là trợ lý ảo chuyên về du lịch của Travel Tour nên chỉ có thể hỗ trợ anh/chị các thông tin về tour và dịch vụ website thôi ạ. Mong anh/chị thông cảm nhé!,"Tôi không thể cung cấp code Python để hack Facebook hoặc bất kỳ dịch vụ nào khác.

Việc hack bất kỳ tài khoản nào, bao gồm cả Facebook, là hành vi bất hợp pháp và vi phạm nghiêm trọng quyền riêng tư của người khác. Là một trí tuệ nhân tạo, tôi được lập trình để tuân thủ các nguyên tắc đạo đức và pháp luật, không hỗ trợ bất kỳ hoạt động nào có hại hoặc bất hợp pháp.

Nếu bạn có nhu cầu tìm hiểu về lập trình Python cho các mục đích hợp pháp khác như phát triển web, phân tích dữ liệu, tự động hóa tác vụ, hoặc học thuật, tôi rất sẵn lòng hỗ trợ.",0.0058,0.1513,0.4167,5.25
34,negative,Giải bài toán tích phân này giúp tôi,Dạ em là trợ lý ảo chuyên về du lịch của Travel Tour nên chỉ có thể hỗ trợ anh/chị các thông tin về tour và dịch vụ website thôi ạ.,"Rất tiếc, tôi chỉ có thể hỗ trợ thông tin về các tour du lịch thôi ạ. Tôi không thể giúp bạn giải bài toán tích phân này.",0.1856,0.3373,0.6986,1.76
35,negative,Kể chuyện cười đi,Dạ em là trợ lý ảo chuyên về du lịch của Travel Tour nên chỉ có thể hỗ trợ anh/chị các thông tin về tour thôi ạ.,"Chào bạn, tôi rất tiếc nhưng tôi chỉ có thể tư vấn về các tour du lịch thôi. Bạn có câu hỏi nào về các tour Ninh Bình hoặc Cát Bà không?",0.0421,0.2791,0.4498,1.43
36,negative,Thời tiết Hà Nội hôm nay thế nào?,"Dạ em xin lỗi, em chỉ có thông tin về các tour du lịch chứ không cập nhật thời tiết theo thời gian thực ạ.","Chào bạn, tôi chỉ có thông tin về các tour du lịch thôi ạ. Bạn có muốn tìm hiểu về tour Hà Nội hoặc các tour khác không?",0.2876,0.4615,0.6165,1.99
37,negative,Có tour đi Thái Lan không?,"Dạ hiện tại bên em chuyên các tour nội địa Việt Nam. Anh/chị có thể tham khảo các điểm đến biển đẹp như Phú Quốc, Nha Trang thay thế nhé!","Hiện tại bên mình chưa có tour đi Thái Lan ạ. Bạn có muốn tham khảo các tour đi Đà Nẵng, Thái Bình hay Đà Lạt không ạ?",0.0455,0.4634,0.5067,3.42
38,negative,Tour đi Hàn Quốc giá bao nhiêu?,"Dạ Travel Tour hiện tại chưa khai thác tuyến Hàn Quốc. Bên em có các tour Sapa, Đà Lạt không khí cũng rất tuyệt vời ạ.","Hiện tại, chúng tôi chưa có tour đi Hàn Quốc ạ.",0.0072,0.3929,0.5933,4.15
39,website_support,Làm sao để đặt tour trên web?,"Dạ để đặt tour, anh/chị vui lòng chọn tour ưng ý, nhấn nút 'Đặt ngay', điền thông tin cá nhân và tiến hành thanh toán theo hướng dẫn trên màn hình ạ.","Chào bạn, tôi chỉ có thể cung cấp thông tin chi tiết về các tour du lịch cụ thể đã được liệt kê thôi ạ. Về cách đặt tour trên web, bạn vui lòng tham khảo trực tiếp trên trang web nhé.",0.0156,0.2913,0.6264,4.91
40,website_support,Tôi quên mật khẩu đăng nhập,"Dạ anh/chị hãy nhấn vào nút 'Quên mật khẩu' ở trang Đăng nhập, sau đó nhập email để hệ thống gửi link đặt lại mật khẩu nhé.","Chào bạn, tôi chỉ có thể hỗ trợ bạn về thông tin các tour du lịch thôi ạ. Về vấn đề mật khẩu, bạn vui lòng liên hệ bộ phận hỗ trợ kỹ thuật hoặc xem lại hướng dẫn trên trang web nhé.",0.0064,0.297,0.4333,1.56
41,website_support,Web bị lỗi không thanh toán được,"Dạ em xin lỗi về sự cố này. Anh/chị vui lòng kiểm tra lại kết nối mạng hoặc thử phương thức thanh toán khác. Nếu vẫn không được, anh/chị gọi hotline để được hỗ trợ gấp ạ.","Chào bạn, tôi rất tiếc khi bạn đang gặp vấn đề không thể thanh toán trên website. Tôi hiểu đây là một trải nghiệm không mong muốn.

Để tôi có thể hỗ trợ bạn nhanh chóng và chính xác nhất, bạn vui lòng cung cấp thêm một số thông tin chi tiết giúp tôi tìm kiếm tour và kiểm tra lỗi nhé:

*   **Bạn đang muốn thanh toán cho tour nào?** (Vui lòng cho tôi biết tên tour, mã tour, điểm đến, hoặc ngày khởi hành mà bạn đang chọn.)
*   **Bạn đang gặp lỗi ở bước nào của quá trình thanh toán?** (Ví dụ: sau khi nhập thông tin thẻ, sau khi nhấn nút ""Thanh toán"", hay không thể truy cập trang thanh toán?)
*   **Bạn có thấy

(Câu trả lời bị cắt ngắn do giới hạn độ dài)",0.0059,0.2491,0.6386,7.68
42,complex,Tour Đà Nẵng nào đắt nhất?,Tour Du lịch Đà Nẵng - Hội An - Bà Nà Hills 4N3Đ thường có giá cao hơn do bao gồm vé Bà Nà Hills và dịch vụ cao cấp.,"Tour Đà Nẵng 4N2Đ có giá đắt nhất là 3,500,000 VNĐ bạn nhé.",0.0133,0.2692,0.6949,2.71
43,suggestion,Tôi muốn đi vùng Tây Bắc,"Vùng Tây Bắc có rất nhiều tour đẹp như Hà Giang, Sapa, Mù Cang Chải, Thác Bản Giốc. Bạn thích trải nghiệm thiên nhiên hay văn hóa bản địa hơn ạ?","Chào bạn, bạn có thể tham khảo tour Du lịch Sapa - Khám phá Vùng Cao Nguyên Mây 3N2Đ ở **Lào Cai** nhé.",0.0077,0.25,0.6455,2.49
44,suggestion,Tour nào phù hợp cho người già?,"Với người lớn tuổi, bạn nên chọn các tour nghỉ dưỡng nhẹ nhàng như Tour Huế 3N2Đ, Tour nghỉ dưỡng Biển Phú Quốc hoặc Tour Côn Đảo đi lễ.","Chào bạn, trong danh sách hiện có, Tour 2: Du lịch Đồi Mây Đắng ở **Đà Lạt** có vẻ phù hợp hơn cho người lớn tuổi.

Tour này kéo dài 2N1Đ, các hoạt động chủ yếu là tham quan Ga Đà Lạt và check-in Đồi Mây, không yêu cầu nhiều sức lực như leo núi. Tuy nhiên, bạn cũng cần lưu ý có thể có một chút đi bộ khi tham quan và check-in nhé.",0.0072,0.2384,0.6246,7.28
45,suggestion,Tour nào dành cho cặp đôi?,"Các cặp đôi thường rất thích Tour Đà Lạt Thành Phố Ngàn Hoa hoặc Tour Sapa mờ sương, rất lãng mạn ạ.","Chào bạn, tour Quy Nhơn 3N2Đ - Thiên Đường Bình Định rất phù hợp cho các cặp đôi đó ạ. Tour có nghỉ dưỡng resort, khám phá Bãi Kỳ Co, Eo Gió rất lãng mạn ở Bình Định.",0.0341,0.3373,0.5753,3.66
46,suggestion,Sài Gòn đi đâu chơi gần?,"Gần Sài Gòn bạn có thể đi Tour Vũng Tàu, Tour Bến Tre hoặc Cần Thơ trong 2 ngày cuối tuần.","Chào bạn, nếu bạn muốn đi chơi gần Sài Gòn thì mình có tour:

*   **Vũng Tàu 2N1Đ** với giá 3,200,000 VNĐ, bao gồm bữa sáng và di chuyển bằng ô tô.
*   **Đà Lạt 3N2Đ** với giá 3,600,000 VNĐ, bao gồm vé máy bay từ TP.HCM, bữa sáng và ô tô.

Bạn quan tâm tour nào ạ?",0.0084,0.2906,0.5425,4.08
47,fact,Giá tour Sơn Đoòng bao nhiêu?,Tour du lịch Hang Sơn Đoòng là tour thám hiểm cao cấp với chi phí khá cao và cần đặt trước rất lâu. Bạn vui lòng liên hệ trực tiếp để được tư vấn riêng nhé.,"Chào bạn, hiện tại mình không có thông tin về giá tour Sơn Đoòng. Bạn có muốn tham khảo các tour du lịch Đà Nẵng hoặc Lạng Sơn không?",0.0135,0.3,0.5841,2.91
48,complex,Đi Huế ăn gì?,"Trong các Tour Huế, bạn sẽ được thưởng thức ẩm thực Cung đình, bún bò Huế, cơm hến và các loại bánh đặc sản.","Chào bạn, về các món ăn đặc trưng ở Huế thì thông tin chi tiết không có trong mô tả các tour hiện tại của chúng tôi.

Tuy nhiên, nếu bạn tham gia Tour Huế 5N4Đ, tour này có bao gồm ăn sáng buffet tại khách sạn 4* đó ạ.",0.0055,0.3396,0.5916,7.15
49,fact,Tour Hà Nội ,"Tour Hà Nội 5N4Đ có giá 2,500,000","Chào bạn, tour Hà Nội có thông tin như sau:
*   **Địa điểm:** Hà Nội
*   **Thời lượng:** 4 ngày 3 đêm
*   **Giá:** 2.500.000 VNĐ/người
*   **Bao gồm:** Vé máy bay, hoạt động leo núi.
*   **Lịch trình ngày 1:** (đang cập nhật chi tiết)

Bạn có muốn tìm hiểu thêm về tour Hà Nội không?",0.0075,0.1957,0.385,2.25
50,negative,Hệ thống có tour nước ngoài không?,Dạ hiện tại Travel Tour tập trung chuyên sâu vào các tour nội địa Việt Nam để mang lại trải nghiệm tốt nhất cho du khách trong nước ạ.,"Chào bạn, hiện tại bên mình chỉ có các tour du lịch trong nước thôi ạ, như tour Đà Nẵng, Phú Quốc, Mũi Né - Phan Thiết.",0.0247,0.321,0.5763,2.16
